studid,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob=at_home,Mjob=health,Mjob=other,Mjob=services,Mjob=teacher,Fjob=teacher,Fjob=other,Fjob=services,Fjob=health,Fjob=at_home,reason=course,reason=other,reason=home,reason=reputation,guardian=mother,guardian=father,guardian=other,traveltime,failures,schoolsup,famsup,nursery,famrel,health,internet,activities,higher,romantic,freetime,goout,Dalc,Walc,absences,studytime,paid,bad_grade
1,0,0,18,0,0,0,4,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,4,3,0,0,0,0,3,4,1,1,4,2,0,1
2,0,0,17,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,5,3,1,0,0,0,3,3,1,1,2,2,0,1
3,0,0,15,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,3,1,0,0,0,3,2,2,3,6,2,0,1
4,0,0,15,0,0,1,4,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,3,5,1,1,0,1,2,2,1,1,0,3,0,0
5,0,0,16,0,0,1,3,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,4,5,0,0,0,0,3,2,1,2,0,2,0,1
6,0,1,16,0,1,1,4,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,5,5,1,1,0,0,4,2,1,2,6,2,0,1
7,0,1,16,0,1,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,4,3,1,0,0,0,4,4,1,1,0,2,0,1
8,0,0,17,0,0,0,4,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,4,1,0,0,0,0,1,4,1,1,2,2,0,1
9,0,1,15,0,1,0,3,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,4,1,1,0,0,0,2,2,1,1,0,2,0,0
10,0,1,15,0,0,1,3,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,5,5,1,1,0,0,5,1,1,1,0,2,0,1
11,0,0,15,0,0,1,4,4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,3,2,1,0,0,0,3,3,1,2,2,2,0,0
12,0,0,15,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,3,0,1,1,0,5,4,1,1,0,0,2,2,1,1,0,3,0,1
13,0,1,15,0,1,1,4,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,4,5,1,1,0,0,3,3,1,3,0,1,0,1
14,0,1,15,0,0,1,4,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,1,0,5,3,1,0,0,0,4,3,1,2,0,2,0,1
15,0,1,15,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,4,3,1,0,0,1,5,2,1,1,0,3,0,0
16,0,0,16,0,0,1,4,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,4,2,1,0,0,0,4,4,1,2,6,1,0,0
17,0,0,16,0,0,1,4,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,3,2,1,1,0,0,2,3,1,2,10,3,0,0
18,0,0,16,0,0,1,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3,0,0,1,0,5,4,0,1,0,0,3,2,1,1,2,2,0,0
19,0,1,17,0,0,1,3,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,3,1,1,0,5,5,1,1,0,0,5,5,2,4,2,1,1,1
20,0,1,16,0,1,1,4,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,3,5,1,1,0,0,1,3,1,3,6,1,0,1
21,0,1,15,0,0,1,4,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,4,1,1,0,0,0,4,1,1,1,0,2,0,0
22,0,1,15,0,0,1,4,4,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,5,5,1,0,0,0,4,2,1,1,0,1,1,1
23,0,1,16,0,1,1,4,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,4,5,1,1,0,0,5,1,1,3,0,2,0,0
24,0,1,16,0,1,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,5,5,1,1,0,0,4,4,2,4,2,2,0,1
25,0,0,15,1,0,1,2,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,4,5,1,1,0,0,3,2,1,1,2,3,0,1
26,0,0,16,0,0,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,5,1,0,0,0,2,2,1,3,6,1,0,1
27,0,1,15,0,0,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,4,5,1,0,0,0,2,2,1,2,8,1,0,1
28,0,1,15,0,0,1,4,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,2,1,1,0,0,0,2,4,2,4,0,1,0,1
29,0,1,16,0,1,0,3,4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,5,5,1,1,0,0,3,3,1,1,2,2,1,1
30,0,1,16,0,0,1,4,4,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,4,5,1,1,0,1,4,5,5,5,4,2,1,1
31,0,1,15,0,0,1,4,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,5,5,1,0,0,0,4,2,3,4,0,2,1,1
32,0,1,15,0,0,1,4,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1,1,0,4,5,1,1,0,0,3,1,1,1,2,2,0,0
33,0,1,15,1,0,1,4,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,4,5,1,1,0,1,5,2,1,1,0,2,0,0
34,0,1,15,0,1,1,3,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,5,2,1,1,0,0,3,2,1,1,0,2,0,1
35,0,1,16,0,0,1,3,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,5,5,1,0,0,0,4,3,1,1,4,1,0,1
36,0,0,15,0,0,1,2,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,1,1,0,3,5,0,1,0,0,5,1,1,1,4,1,0,1
37,0,1,15,0,1,1,4,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,5,4,1,1,0,0,4,3,1,1,0,3,0,0
38,0,1,16,1,0,0,4,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,2,5,1,1,0,1,4,3,1,1,4,3,0,1
39,0,0,15,1,0,1,3,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,4,5,1,1,0,0,3,2,1,1,2,3,0,1
40,0,0,15,1,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,4,2,0,1,0,0,3,1,1,1,8,1,0,1
41,0,0,16,0,1,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,1,1,1,3,3,1,1,0,1,3,3,1,2,16,2,0,1
42,0,1,15,0,1,1,4,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,5,5,1,0,0,1,4,3,2,4,8,1,0,1
43,0,1,15,0,0,1,4,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,4,5,1,1,0,0,3,3,1,1,0,2,0,0
44,0,1,15,0,0,1,2,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,5,1,1,0,0,0,4,1,1,1,0,1,0,1
45,0,0,16,0,1,1,2,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,1,0,0,0,4,5,1,1,0,0,3,3,2,2,14,2,0,1
46,0,0,15,0,1,0,4,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,5,5,1,1,0,1,2,2,1,1,4,2,1,1
47,0,0,16,0,1,0,3,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,2,3,1,0,0,0,3,5,1,4,6,2,0,1
48,0,1,16,0,0,1,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,4,2,1,1,0,0,2,2,1,1,2,4,0,0
49,0,1,15,0,0,1,4,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,4,5,0,0,0,0,3,3,2,2,4,2,0,1
50,0,0,15,0,0,1,4,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,4,3,1,1,0,0,4,4,1,1,2,2,0,1
51,0,0,16,0,1,1,2,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,3,0,1,1,0,4,4,1,0,0,0,3,3,2,3,0,2,0,1
